Task ID,Type,ID,Medium,Constraints,Expected value,Description,Task result,Result equation,Solution status
1,Metabolite,MNXM126_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,2.23443287138>0.0,Maximzation (optimal)
2,Metabolite,MNXM20_m,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,1.40310333443>0.0,Maximzation (optimal)
3,Metabolite,MNXM258_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,1.38723955522>0.0,Maximzation (optimal)
4,Metabolite,MNXM89629_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,0.969696969697>0.0,Maximzation (optimal)
5,Metabolite,MNXM2378_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,1.88235294118>0.0,Maximzation (optimal)
6,Metabolite,MNXM160_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,0.969696969697>0.0,Maximzation (optimal)
7,Metabolite,MNXM46_m,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,2.27108215708>0.0,Maximzation (optimal)
8,Metabolite,MNXM73_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,2.23443287138>0.0,Maximzation (optimal)
9,Metabolite,MNXM23_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,2.36734385905>0.0,Maximzation (optimal)
10,Metabolite,MNXM15900_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites,PASSED,1.0888538648>0.0,Maximzation (optimal)
